number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_fixed_params,state
2,0.5875341940307797,2025-06-23 17:38:22.402557,2025-06-23 18:47:22.103641,0 days 01:08:59.701084,20,log2,0.6734340543293049,0.03567554117398883,12,20,268,,COMPLETE
69,0.5875949839286558,2025-06-24 07:49:35.328554,2025-06-24 09:52:04.266299,0 days 02:02:28.937745,27,log2,0.6520020835167566,0.005784975632207756,12,15,390,,COMPLETE
8,0.5878846467876203,2025-06-23 17:38:22.409870,2025-06-23 19:11:14.571017,0 days 01:32:52.161147,21,sqrt,0.6982862285583965,0.009947819216522914,8,11,280,,COMPLETE
88,0.5879444974883374,2025-06-24 12:24:59.210082,2025-06-24 14:27:11.306467,0 days 02:02:12.096385,26,log2,0.6982331737570731,0.04020274399355786,13,6,365,,COMPLETE
19,0.5880387056780845,2025-06-23 19:48:53.549763,2025-06-23 22:14:46.056776,0 days 02:25:52.507013,25,log2,0.6117409898779707,0.044484188636045696,12,7,391,,COMPLETE
15,0.5888443907893812,2025-06-23 19:11:14.584986,2025-06-23 21:31:44.332399,0 days 02:20:29.747413,26,sqrt,0.7759217842040526,0.002151895897132983,5,20,390,,COMPLETE
81,0.58902832378664,2025-06-24 10:34:57.752274,2025-06-24 12:58:53.606626,0 days 02:23:55.854352,30,log2,0.7707620583380024,0.038722164088453,15,13,200,,COMPLETE
72,0.589131612007907,2025-06-24 08:24:15.726354,2025-06-24 10:50:08.336400,0 days 02:25:52.610046,25,log2,0.9432122283929328,0.010052742929026992,17,11,341,,COMPLETE
71,0.5891382179522298,2025-06-24 08:12:43.940362,2025-06-24 10:34:57.738732,0 days 02:22:13.798370,24,sqrt,0.8599174366483904,0.03834180048885164,10,14,385,,COMPLETE
127,0.5893105410828302,2025-06-24 22:11:40.666301,2025-06-25 00:51:27.034328,0 days 02:39:46.368027,22,log2,0.9592978338532407,0.012641174735374357,18,7,244,,COMPLETE
116,0.5894492112081647,2025-06-24 19:23:30.931038,2025-06-24 21:53:51.853473,0 days 02:30:20.922435,20,log2,0.9671605952114457,0.046209307184891676,18,16,202,,COMPLETE
56,0.5894855423478438,2025-06-24 04:25:15.888346,2025-06-24 06:56:24.762849,0 days 02:31:08.874503,20,sqrt,0.7473628973585404,0.0012498364870097201,6,20,357,,COMPLETE
34,0.5895082383500114,2025-06-23 23:24:03.658920,2025-06-24 01:30:02.441943,0 days 02:05:58.783023,28,log2,0.961964507752189,0.0007615767668006035,18,10,291,,COMPLETE
65,0.5896305647419693,2025-06-24 06:34:18.667490,2025-06-24 09:01:03.276656,0 days 02:26:44.609166,29,log2,0.6475800448417515,0.010086691664423487,14,7,322,,COMPLETE
117,0.589781421404075,2025-06-24 19:36:43.954932,2025-06-24 22:11:40.640154,0 days 02:34:56.685222,27,sqrt,0.7895921360088608,0.022859284611839094,10,20,270,,COMPLETE
21,0.5902505188917697,2025-06-23 20:29:24.365551,2025-06-23 22:46:02.485413,0 days 02:16:38.119862,21,sqrt,0.6527552561467229,0.011257075504199195,6,19,304,,COMPLETE
28,0.5903460821645539,2025-06-23 22:02:31.408752,2025-06-24 00:07:42.591504,0 days 02:05:11.182752,23,log2,0.8410798473445544,0.03009573617746776,18,5,248,,COMPLETE
40,0.5903592009953993,2025-06-24 00:36:20.863017,2025-06-24 03:01:07.401221,0 days 02:24:46.538204,23,sqrt,0.5396805741456943,0.016708624855724965,2,18,241,,COMPLETE
29,0.5903675306132501,2025-06-23 22:14:46.071283,2025-06-24 00:24:02.499909,0 days 02:09:16.428626,25,sqrt,0.5659457428635386,0.007433687241163962,8,17,333,,COMPLETE
44,0.5903836292611173,2025-06-24 01:30:02.455729,2025-06-24 04:01:45.040997,0 days 02:31:42.585268,29,sqrt,0.903731874942608,0.04733227679754326,11,5,287,,COMPLETE
25,0.5904276249254983,2025-06-23 21:31:44.362496,2025-06-23 23:36:30.567419,0 days 02:04:46.204923,28,sqrt,0.5241102129645699,0.02951795979823911,8,14,275,,COMPLETE
63,0.5905096199936023,2025-06-24 06:07:07.279526,2025-06-24 08:37:02.565157,0 days 02:29:55.285631,29,log2,0.6341736868492521,0.0024620966984656603,15,16,387,,COMPLETE
51,0.590558994562443,2025-06-24 03:08:46.950673,2025-06-24 05:39:34.710400,0 days 02:30:47.759727,28,log2,0.6415879966625211,0.020221937297881677,15,12,220,,COMPLETE
99,0.5905621471857994,2025-06-24 14:39:09.114890,2025-06-24 17:36:03.190403,0 days 02:56:54.075513,20,sqrt,0.8507172325189327,0.021689381380172512,11,15,342,,COMPLETE
75,0.5907196486533222,2025-06-24 09:01:03.290895,2025-06-24 11:38:49.437037,0 days 02:37:46.146142,19,sqrt,0.5468053267232509,0.020348760253741646,7,17,372,,COMPLETE
123,0.5907278132896763,2025-06-24 21:13:25.861690,2025-06-24 23:58:57.629909,0 days 02:45:31.768219,30,sqrt,0.8347787209514453,0.04491371429045758,11,20,271,,COMPLETE
82,0.5907314892567144,2025-06-24 10:50:08.349772,2025-06-24 13:07:19.711143,0 days 02:17:11.361371,18,log2,0.8058946623290122,0.024575871956058776,17,7,220,,COMPLETE
74,0.590864500528276,2025-06-24 08:50:36.799047,2025-06-24 11:21:36.818336,0 days 02:31:00.019289,17,log2,0.8040246988990247,0.027171175866907028,17,11,382,,COMPLETE
133,0.591002284810382,2025-06-24 23:58:57.661520,2025-06-25 02:06:02.272139,0 days 02:07:04.610619,28,sqrt,0.5916685673718188,0.023518644712951217,2,20,204,,COMPLETE
76,0.5910318070900038,2025-06-24 09:15:28.846720,2025-06-24 12:00:06.028939,0 days 02:44:37.182219,21,sqrt,0.6215700969780715,0.010598753543209334,9,19,396,,COMPLETE
97,0.5910335760044383,2025-06-24 14:13:48.869904,2025-06-24 16:44:07.523564,0 days 02:30:18.653660,26,sqrt,0.9189773642451495,0.03019874658766089,12,15,294,,COMPLETE
41,0.5910944312761353,2025-06-24 00:48:46.326859,2025-06-24 03:08:46.930763,0 days 02:20:00.603904,27,log2,0.6532908583299493,0.032741812078701076,16,12,219,,COMPLETE
23,0.5911157075849405,2025-06-23 20:55:47.260709,2025-06-23 23:10:31.509323,0 days 02:14:44.248614,19,log2,0.532791078164097,0.04492688718925181,14,10,276,,COMPLETE
86,0.5911258134195776,2025-06-24 12:00:06.057905,2025-06-24 13:54:12.807294,0 days 01:54:06.749389,20,sqrt,0.788095053135051,0.04536916466162709,11,8,263,,COMPLETE
106,0.5914006466084419,2025-06-24 16:23:11.403706,2025-06-24 19:23:30.902501,0 days 03:00:19.498795,24,sqrt,0.540156400761562,0.00434219906222329,8,18,391,,COMPLETE
121,0.5915000106995618,2025-06-24 20:42:08.719283,2025-06-24 23:25:21.318508,0 days 02:43:12.599225,24,log2,0.8119487577888033,0.04811121916114463,19,12,242,,COMPLETE
17,0.5915735949013532,2025-06-23 19:34:00.983567,2025-06-23 21:49:45.938863,0 days 02:15:44.955296,17,log2,0.6566139673119618,0.03526570397172187,16,13,245,,COMPLETE
110,0.5916157412580487,2025-06-24 17:48:10.905369,2025-06-24 20:19:42.095183,0 days 02:31:31.189814,16,sqrt,0.7479249823470178,0.0043630977587865325,4,15,373,,COMPLETE
22,0.5919309343670484,2025-06-23 20:41:44.753484,2025-06-23 23:02:29.753804,0 days 02:20:45.000320,17,sqrt,0.7251956651279284,0.006361310128388898,10,9,267,,COMPLETE
60,0.5921304547676287,2025-06-24 05:32:37.327032,2025-06-24 08:04:51.314808,0 days 02:32:13.987776,23,sqrt,0.703954904292712,0.0024467440118167653,11,7,267,,COMPLETE
85,0.5922277545119463,2025-06-24 11:38:49.456944,2025-06-24 13:37:40.025644,0 days 01:58:50.568700,17,log2,0.5246698829306504,0.04320863467894819,14,11,284,,COMPLETE
93,0.5924806003064054,2025-06-24 13:18:55.170541,2025-06-24 15:48:34.962235,0 days 02:29:39.791694,25,sqrt,0.8862727637880348,0.019283821038886814,13,20,256,,COMPLETE
